feature,score,p_value,feature_type
PRF1,1006.1103426669613,3.4436772012722514e-154,RNA
GNLY,943.8040033466606,2.898807116420521e-147,RNA
NKG7,884.9980253476069,1.5973446344451497e-140,RNA
KLRF1,832.3406935613993,2.6252414516655236e-134,RNA
BNC2,682.7611206928171,1.2388854128125115e-115,RNA
NCR1,631.6394018427175,7.159633331779132e-109,RNA
KLRD1,629.4183307437523,1.4236864516142505e-108,RNA
CST7,584.3982255090551,1.963251756324071e-102,RNA
GZMA,576.4761899697467,2.4615895370327717e-101,RNA
SPON2,500.2748142338975,1.7532518917934344e-90,RNA
FGFBP2,411.7484647723815,3.640506265862967e-77,RNA
PTGDR,401.8651520720401,1.2564606078543501e-75,RNA
GZMB,388.7445507855513,1.4376398322352904e-73,RNA
ADGRG1,381.9580325664666,1.6982301527088453e-72,RNA
CTSW,378.17411158471714,6.763575299485092e-72,RNA
CCL5,367.96313528167974,2.870733617495884e-70,RNA
NCAM1,352.9262159772791,7.538973533975747e-68,RNA
PDGFD,346.593119146447,8.021985995528568e-67,RNA
C1orf21,342.5621414145884,3.6345546882205624e-66,RNA
IL2RB,341.39974806734807,5.623831134123141e-66,RNA
TGFBR3,338.27229871235613,1.8235558291661542e-65,RNA
PYHIN1,336.8158337822001,3.156801314018154e-65,RNA
CCL4,321.5277687912046,1.03906781196447e-62,RNA
SAMD3,299.03991596462777,5.92788142189268e-59,RNA
TRDC,286.35542617714333,8.325456894744021e-57,RNA
CLIC3,277.51875743392714,2.6854977653562056e-55,RNA
NCALD,274.76623077265674,7.962988419445517e-55,RNA
YES1,274.395275788661,9.220870507382524e-55,RNA
SH2D1B,252.17767309962866,6.515941169239727e-51,RNA
LINC00299,239.60934293667108,1.0517227644776123e-48,RNA
MCTP2,233.21185141521886,1.427011067141771e-47,RNA
RNF165,231.97934656086048,2.3620675487088694e-47,RNA
MYBL1,227.1082815000017,1.7395841413813472e-46,RNA
ADGRG5,209.81453070304394,2.2252306027429685e-43,RNA
DTHD1,209.5865443576903,2.446994020251798e-43,RNA
GFOD1,206.7158164273108,8.106102020081962e-43,RNA
GZMH,190.20629637017993,8.411830599515926e-40,RNA
CD247,181.3575697333589,3.622128757061056e-38,RNA
PRSS23,180.437357584665,5.365517488934959e-38,RNA
HOPX,179.45128786308888,8.177540216595671e-38,RNA
PPP2R2B,172.05997556725632,1.9472077213416338e-36,RNA
A2M,168.96272261893006,7.395705341768635e-36,RNA
LINGO2,163.16478015340905,9.081224601261392e-35,RNA
CD160,160.00632707289435,3.5794423093589295e-34,RNA
KLRB1,155.6554543290772,2.3828975881608162e-33,RNA
KLRK1,154.4003313521655,4.122849681194037e-33,RNA
CX3CR1,142.63020318245884,7.261595022028927e-31,RNA
KLRC2,136.1220583214545,1.2976277823083816e-29,RNA
STAT4,130.04210105808613,1.9483066721081384e-28,RNA
ZBTB16,129.39157208193322,2.6057343934361945e-28,RNA
FCGR3A,128.1613136992409,4.5179507702689726e-28,RNA
LINC02384,127.71290779544326,5.522358065622577e-28,RNA
MIR181A2HG,126.51798807661075,9.432552408285098e-28,RNA
IGFBP7,125.24095217064831,1.6726241195274136e-27,RNA
CD38,124.99700324083673,1.866181364631058e-27,RNA
AC243829.2,119.06519599734156,2.69562087709526e-26,RNA
XCL2,118.03315798226313,4.2962705710908613e-26,RNA
KLRG1,114.58614179264012,2.044833322321286e-25,RNA
TFDP2,112.33767735495663,5.673241315816464e-25,RNA
SLCO4C1,111.19870243112567,9.521125789028294e-25,RNA
TOX,107.581146442145,4.9488726019961224e-24,RNA
ACTG1,102.61639990964895,4.7973053857843105e-23,RNA
LDB2,96.80255065865633,6.955613797466939e-22,RNA
SYNE2,90.61778970673444,1.2166879327041707e-20,RNA
PZP,90.15273002544343,1.509900298133961e-20,RNA
IFITM2,89.4281667353334,2.114116902028388e-20,RNA
PRKCH,87.8083683614109,4.4907076746975305e-20,RNA
PFN1,84.98063708008871,1.678026501184714e-19,RNA
SLAMF7,82.62539374647835,5.045530759049488e-19,RNA
KLRC1,80.47395618257708,1.3825226795113265e-18,RNA
IKZF2,77.6217922456839,5.279011451101038e-18,RNA
ID2,73.97198796026898,2.9495338548352035e-17,RNA
JAKMIP2,68.15246344155615,4.64847110887472e-16,RNA
HIVEP3,65.54726530317559,1.6066950613001187e-15,RNA
AL450352.1,64.90129621425095,2.1864189279766964e-15,RNA
IL18RAP,63.95216634845651,3.439588313023787e-15,RNA
AC244502.1,63.20437856475877,4.916868874100905e-15,RNA
TRGC2,59.492388619447624,2.91077563515953e-14,RNA
RORA,58.895947836607796,3.876323165478149e-14,RNA
IFNG,56.58990472834584,1.1756382940367135e-13,RNA
AF165147.1,56.00119338495316,1.5613567039940095e-13,RNA
DPYD,55.95344807260687,1.5977175685464483e-13,RNA
MARCH1,54.817945388350196,2.7634219740530423e-13,RNA
PPM1L,54.119957940467394,3.871485650451252e-13,RNA
SYTL2,53.59894293463814,4.980397441631239e-13,RNA
ST8SIA6,53.14022952122744,6.217692130556114e-13,RNA
ACTB,51.11466769605407,1.6589053658033543e-12,RNA
UBE2E2,50.691565328939696,2.0369690986704944e-12,RNA
HLA.DRA,50.61007032493799,2.119160920684546e-12,RNA
AGAP1,50.04121090222348,2.7933949930696354e-12,RNA
TMSB4X,47.72256015098225,8.630646301915749e-12,RNA
DIAPH3,46.206764334942314,1.8077405000333314e-11,RNA
RRM2,44.28689555699866,4.6214525034428836e-11,RNA
PPP1R9A,44.23569473721587,4.738760269732788e-11,RNA
FCN1,44.17645264606657,4.8782233520644365e-11,RNA
SLC8A1,44.007613743137995,5.298689644631223e-11,RNA
CARD11,43.143890877451256,8.090760262490174e-11,RNA
RAB27B,41.491350934032724,1.8210528389432537e-10,RNA
MEF2C,41.45619602732796,1.8527933923916505e-10,RNA
chr4.1200231.1204285,41.43481963726135,1.8723643182159017e-10,ATAC
NAMPT,40.69907687412519,2.6886964421017077e-10,RNA
LYZ,38.56258547253328,7.706693171367335e-10,RNA
DMXL2,38.37979804171661,8.434586034698456e-10,RNA
GRK3,38.27736469840713,8.872249271562827e-10,RNA
LRRK2,38.06323719475464,9.86214110914364e-10,RNA
IRAK3,37.72981608627595,1.1628713732064247e-09,RNA
BACH1,37.63309114525976,1.2198270278730642e-09,RNA
KLRC3,37.45802943634977,1.3301221948901406e-09,RNA
CD74,37.397787528338014,1.3703467417348427e-09,RNA
SAT1,36.80871819136291,1.834077248222043e-09,RNA
ELOVL6,36.6085569514928,2.0251539481143783e-09,RNA
JAK2,36.41936045892383,2.2240955879903405e-09,RNA
AC015849.1,36.19800803196977,2.4818826092564163e-09,RNA
GAB2,35.737075401818785,3.1189885617867966e-09,RNA
chr1.1623432.1632586,35.5273563567658,3.46089323896368e-09,ATAC
EFNA5,35.51326583825408,3.4851696330847874e-09,RNA
RBM47,35.51303438563424,3.4855698231774555e-09,RNA
VIPR2,34.368812230742186,6.152151727089354e-09,RNA
VCAN,34.317305711303604,6.31168965573952e-09,RNA
HCK,34.28016917121343,6.4292871270675646e-09,RNA
LRMDA,34.05092314259792,7.205507365755303e-09,RNA
MCTP1,34.04875899614684,7.213266349276687e-09,RNA
MAML3,33.90717583606914,7.739522997056422e-09,RNA
MIR646HG,33.88916725181472,7.809165256874274e-09,RNA
KYNU,33.691428480768174,8.616487958119615e-09,RNA
TLR2,33.526657263468856,9.352844589425134e-09,RNA
AC131237.1,33.076839340075885,1.1700880359116059e-08,RNA
CCL3,33.02887370706171,1.1983834053368088e-08,RNA
PAM,32.65772973366609,1.4418544774860501e-08,RNA
TYMP,32.3866679797305,1.6505164265208832e-08,RNA
TNFAIP2,31.81878700446539,2.191223411442125e-08,RNA
PDE3B,31.569547515290797,2.4816456337260748e-08,RNA
CSF3R,30.531989569242953,4.16891830488986e-08,RNA
ARHGAP24,30.09538808536911,5.187436405591756e-08,RNA
TYROBP,30.06478549859991,5.267561279376274e-08,RNA
WARS,29.708740473000287,6.296319692899654e-08,RNA
CD36,29.406081133968726,7.328056447003502e-08,RNA
C12orf75,29.24211023860185,7.956252923501025e-08,RNA
SDF2L1,29.124786964918762,8.43866172915875e-08,RNA
AC117480.1,29.009487001290886,8.941357137372937e-08,RNA
SULF2,28.629572840499016,1.0820495306875242e-07,RNA
IFI30,28.572417199326235,1.1135657711900933e-07,RNA
AC020916.1,28.43433340331874,1.1935628925564687e-07,RNA
CLEC7A,28.259982220073688,1.302867194373089e-07,RNA
chr9.133130572.133135937,28.087088311839132,1.4211836399181202e-07,ATAC
SLC11A1,27.765488697325722,1.6707230904000037e-07,RNA
LEF1,27.581182334327327,1.8331063644914062e-07,RNA
RRP12,27.544338721468936,1.867421222566213e-07,RNA
CAMK4,27.275603101743194,2.1380166537021187e-07,RNA
RNF130,26.867624919747595,2.6259949338696795e-07,RNA
chr1.206921420.206925880,26.703302175259495,2.852834095353782e-07,ATAC
MTRNR2L12,26.63687679633353,2.9500246028107424e-07,RNA
FGD4,26.302144114617764,3.492800492095736e-07,RNA
SLC14A1,26.298219411847192,3.499726408318569e-07,RNA
PTGDS,26.276102588298436,3.53901459927618e-07,RNA
PRAM1,25.983604595815887,4.1022617211576037e-07,RNA
PLXDC2,25.95949273784826,4.15252853699151e-07,RNA
chr12.57475267.57480869,25.655995078283205,4.840755636902352e-07,ATAC
PELI1,25.638810915899462,4.882985776131806e-07,RNA
HLA.DQB1,25.637401833943724,4.886464972247073e-07,RNA
TRPS1,25.5561989796552,5.09122882334542e-07,RNA
XBP1,25.24282636105735,5.965587561660979e-07,RNA
MAN1A1,25.02396148455102,6.66430492835167e-07,RNA
CCL4L2,24.689698812650445,7.89342048893604e-07,RNA
CPPED1,24.518735613552604,8.607663240443969e-07,RNA
FTH1,24.38768573764209,9.198832635744691e-07,RNA
RAB31,24.325903422768388,9.491518474362871e-07,RNA
CD96,24.238140720866426,9.92344272651728e-07,RNA
CD83,24.219855603602632,1.0015889733080936e-06,RNA
GPRIN3,24.058100174984585,1.0872331641532915e-06,RNA
ST8SIA6.AS1,23.973139372563054,1.135126547820448e-06,RNA
CTSS,23.928982367653465,1.1608498256700551e-06,RNA
COTL1,23.914326406152195,1.1695163472530512e-06,RNA
RTN1,23.89091596677513,1.1834947253796654e-06,RNA
HLA.DRB5,23.88501944710989,1.187041927045991e-06,RNA
GREB1,23.705100562819148,1.3005689618253354e-06,RNA
PID1,23.641965861435647,1.3429413191861922e-06,RNA
WDFY3,23.63672248940287,1.346522144524423e-06,RNA
ARHGAP42,23.623070971357492,1.3558901677396523e-06,RNA
MYOF,23.53990160206418,1.4143950521102202e-06,RNA
HLA.DRB1,23.537375790908218,1.4162109643565933e-06,RNA
AP002989.1,23.252542504162456,1.6367710154378266e-06,RNA
HSPA5,23.07813278967162,1.788547729146765e-06,RNA
IL7R,23.057849131760353,1.807093421018724e-06,RNA
UST,22.937064887736735,1.9216004499566396e-06,RNA
AP001977.1,22.750964287098242,2.112470608338277e-06,RNA
TNFSF13B,22.647034564465407,2.227241489844701e-06,RNA
TMEM163,22.584219293140173,2.2996270020257243e-06,RNA
COLQ,22.43913702930643,2.475982089126854e-06,RNA
chr22.38200761.38205443,22.352205904259733,2.58810094891553e-06,ATAC
DYSF,22.34898078222246,2.592357314426815e-06,RNA
ENTPD1,22.136905972801088,2.8882561369435033e-06,RNA
MNDA,22.098642441716322,2.9451525114465905e-06,RNA
TMTC2,21.959556020975565,3.1616277648530997e-06,RNA
CDHR3,21.829739622237028,3.378088445411735e-06,RNA
ATP8B4,21.739692356512823,3.5369303566503697e-06,RNA
FHIT,21.56569792835692,3.865444402258059e-06,RNA
AC093865.1,21.489254789089273,4.019314017759095e-06,RNA
chr12.132143345.132145588,21.445858870104555,4.109389124630707e-06,ATAC
TXK,21.074143289518876,4.969035606479462e-06,RNA
CREB5,21.009230015133298,5.1367341762493265e-06,RNA
TFEC,20.99306123892755,5.1793829761878465e-06,RNA
RRAS2,20.949692826185657,5.295543635722483e-06,RNA
SAMSN1,20.589313986790188,6.367955448920928e-06,RNA
PRDM1,20.54653828648364,6.508963783099013e-06,RNA
LINC01505,20.53334968779548,6.553069613264232e-06,RNA
CCDC88A,20.43572315152918,6.88904151705364e-06,RNA
COLGALT2,20.320685489119093,7.307239241073012e-06,RNA
SOD2,20.12033082431146,8.097492477029049e-06,RNA
AP003086.1,20.109017127240502,8.144598386758897e-06,RNA
RANBP17,20.009834763311346,8.569537186128839e-06,RNA
MS4A6A,19.728894941831744,9.898235241969463e-06,RNA
HLA.DQA1,19.621754663121205,1.0457921031981893e-05,RNA
IL15,19.26740166590121,1.2546042907044776e-05,RNA
TYMS,19.237762711459705,1.2738656160635138e-05,RNA
KLF4,19.09547458179393,1.3705592317575015e-05,RNA
ATP2B1.AS1,19.082364941325626,1.3798314119432357e-05,RNA
L3MBTL4,18.98600078452454,1.4499533662369722e-05,RNA
CSF2RA,18.90024591349846,1.5153657803168856e-05,RNA
CLEC12A,18.833415956679904,1.568395087269122e-05,RNA
EPB41L3,18.82468156921117,1.5754624014377523e-05,RNA
PILRA,18.610108202246874,1.7595161423797184e-05,RNA
RILPL2,18.602911159865364,1.7660513154075144e-05,RNA
RIPK2,18.525456003832495,1.837948586148013e-05,RNA
MT2A,18.432870167787332,1.927767234620384e-05,RNA
S100A9,18.374191112476513,1.986966736485572e-05,RNA
SLC15A4,18.31171470890117,2.0520101574881146e-05,RNA
GAPDH,18.234839320505028,2.1349930687503093e-05,RNA
chr6.16758546.16763561,18.171609301096446,2.205772737525937e-05,ATAC
SLC31A2,18.043677400700684,2.356287901232571e-05,RNA
APP,17.97135235021246,2.4459120063853378e-05,RNA
CPVL,17.94119090840835,2.4842943076071795e-05,RNA
TBC1D9,17.93069750353999,2.4977895081522042e-05,RNA
PAK1,17.763605572334946,2.722902409668509e-05,RNA
TMEM176B,17.763232017640863,2.7234279071101372e-05,RNA
TCF7L2,17.74573776587474,2.7481526151233422e-05,RNA
FCER1G,17.687386647460457,2.8322662862374034e-05,RNA
MPEG1,17.66234724824912,2.869151099797283e-05,RNA
chr14.103846651.103848957,17.639354196139212,2.9034473308455915e-05,ATAC
PDE4B,17.48437582903596,3.145632833606479e-05,RNA
AHR,17.439524089405094,3.2194466370159725e-05,RNA
chr2.28389317.28397013,17.34280881109956,3.3846043236636664e-05,ATAC
AL359237.1,17.19842046407607,3.6471885654702046e-05,RNA
AC073046.4,17.19842046407606,3.6471885654702046e-05,RNA
PLK1,17.19842046407605,3.6471885654702046e-05,RNA
AL118523.1,17.19842046407605,3.6471885654702046e-05,RNA
FGF14,17.19842046407605,3.6471885654702046e-05,RNA
DGAT2L6,17.198420464076012,3.6471885654702046e-05,RNA
LINC00692,17.198420464075994,3.6471885654702046e-05,RNA
TFPI,17.198420464075987,3.6471885654702046e-05,RNA
AC007463.2,17.198420464075973,3.6471885654702046e-05,RNA
LINC02726,17.198420464075962,3.6471885654702046e-05,RNA
TUBB1,17.19842046407595,3.6471885654702046e-05,RNA
CSGALNACT1,17.10470216798253,3.8285109015370756e-05,RNA
TNFSF10,16.954830081678278,4.137540624665901e-05,RNA
