feature,importance,feature_type
BCL11B,0.023529004976818445,RNA
MARCH1,0.018876804677326883,RNA
LRMDA,0.018226223535374217,RNA
IRAK3,0.017685900814153235,RNA
DMXL2,0.017377241101691296,RNA
CD36,0.01567478893836298,RNA
ZEB2,0.01461732815468357,RNA
SLC8A1,0.013713161295106224,RNA
LYZ,0.013629197126262036,RNA
CLEC7A,0.013516913689516383,RNA
MCTP1,0.012890047978911546,RNA
LRRK2,0.010492179799505947,RNA
LEF1,0.010464260108126905,RNA
TLR2,0.010245394049811708,RNA
RBM47,0.010137698238265005,RNA
CD247,0.01001367026825782,RNA
FCN1,0.009940264668775628,RNA
LYN,0.009796335938191073,RNA
PRKCH,0.009636515957280085,RNA
CSF3R,0.009617916836792348,RNA
TBXAS1,0.00960875796702209,RNA
THEMIS,0.008718469599658617,RNA
LYST,0.008531585294416827,RNA
AC020916.1,0.008372100759926851,RNA
PAX5,0.008344481662355834,RNA
TRAC,0.008175317404347057,RNA
SULF2,0.00792154053211139,RNA
PLXDC2,0.007848069835748267,RNA
MYOF,0.007562027943788052,RNA
CD74,0.0075462419620634415,RNA
BANK1,0.007480874254925771,RNA
CAMK4,0.007344586151779641,RNA
ARHGAP24,0.0070361763138034605,RNA
TYMP,0.0066519271667929295,RNA
VCAN,0.0065977566825386035,RNA
WDFY4,0.006445093698203444,RNA
TNFAIP2,0.006444588480625136,RNA
FGD4,0.006355507261830587,RNA
SYNE2,0.006065767285301937,RNA
LINC00926,0.005998831056631967,RNA
ITK,0.005847073302022769,RNA
FCRL1,0.005803258396229476,RNA
HDAC9,0.005767929200764526,RNA
MEF2C,0.005745122988744749,RNA
AFF3,0.005627907148431037,RNA
BACH2,0.005390505183447649,RNA
ARHGAP26,0.00536256094398102,RNA
MEGF9,0.00512946703774015,RNA
SAT1,0.005119437638162238,RNA
DOCK5,0.005078810250189028,RNA
DPYD,0.005013868082117428,RNA
CTSS,0.0049918195268674435,RNA
PRAM1,0.004793506778550994,RNA
RALGPS2,0.0047475926582430635,RNA
PTPRE,0.004654865713863676,RNA
RAB31,0.00457668867955026,RNA
NR3C2,0.004520545528243627,RNA
MS4A6A,0.004485297823956604,RNA
AOAH,0.004451602016370646,RNA
BLK,0.00444269119871961,RNA
PRF1,0.004395715200838131,RNA
TC2N,0.004239343787935058,RNA
CPPED1,0.004086022890486272,RNA
HLA.DRA,0.004072558588994669,RNA
