feature,score,p_value,feature_type
PLXDC2,5879.991567903928,0.0,RNA
SLC8A1,4883.785765987513,0.0,RNA
LRMDA,3560.431459103984,0.0,RNA
FCN1,2900.868124685498,1.674784423442745e-300,RNA
JAK2,2279.6749469111032,2.7761251857697174e-262,RNA
TNFAIP2,2151.5510666068762,1.656183912785175e-253,RNA
MCTP1,2096.672470257085,1.2218020596550182e-249,RNA
IRAK3,2074.102337284115,4.984033735139721e-248,RNA
TBXAS1,2046.2435621983448,5.033186679854533e-246,RNA
DMXL2,1969.7906989432386,1.9824881559611595e-240,RNA
SAT1,1876.7729804019248,2.001090617866571e-233,RNA
RBM47,1852.7099031039704,1.4119723120555293e-231,RNA
TYMP,1778.0657520933325,9.64485449747716e-226,RNA
VCAN,1694.3205890015936,5.2301791352367423e-219,RNA
CSF3R,1666.0843627098288,1.0865555077495894e-216,RNA
CLEC7A,1658.0206020232129,5.0393682708175126e-216,RNA
TLR2,1611.486702212205,3.865788947477468e-212,RNA
NAMPT,1598.0039979659464,5.3172950931390685e-211,RNA
GAB2,1375.2683012292384,2.7112194265424818e-191,RNA
CD36,1374.9018546354462,2.9314135774553894e-191,RNA
LRRK2,1350.8316375806157,5.082605769544773e-189,RNA
LYST,1342.6232573738814,2.984261685928148e-188,RNA
LYN,1301.7769395705404,2.1901766404005556e-184,RNA
ZEB2,1245.6707149596787,5.7917141350082416e-179,RNA
HCK,1197.6119819607188,3.276493705531491e-174,RNA
LYZ,1137.6923322720368,3.8687353218551565e-168,RNA
FGD4,1134.3938314780569,8.447361139476265e-168,RNA
NEAT1,1087.2697789293836,6.755289861658755e-163,RNA
SLC11A1,1073.7990909678513,1.783901477446686e-161,RNA
STX11,1072.9678862058001,2.1847311804838763e-161,RNA
AC020916.1,1064.9665107303706,1.5437038796531043e-160,RNA
PTPRE,1061.7489523962226,3.3959099476093415e-160,RNA
CPPED1,979.2584087122688,3.126154746629137e-151,RNA
DPYD,964.138509537597,1.5072177259430785e-149,RNA
DOCK5,949.8395800396548,6.0508716731085845e-148,RNA
BCL11B,930.829689766038,8.549868891542563e-146,RNA
WARS,927.4477477807811,2.073376265320962e-145,RNA
WDFY3,921.148039406745,1.0841792077949806e-144,RNA
GRK3,919.8579682918113,1.5223337874684962e-144,RNA
RNF130,908.4474615165336,3.094677863450396e-143,RNA
RTN1,905.8047918030554,6.232734399049193e-143,RNA
CPVL,903.065853638376,1.2890210863522877e-142,RNA
KLF4,898.9987359569419,3.7993289760425635e-142,RNA
GAS7,896.0192160434492,8.399456816863899e-142,RNA
PID1,891.0245875445904,3.184374765687279e-141,RNA
MNDA,879.5874353433829,6.824688428268471e-140,RNA
MAML3,861.9021231448118,8.094737821635315e-138,RNA
BACH1,846.7330310089789,5.044874432608308e-136,RNA
CTSS,843.6951886542629,1.1588112174958092e-135,RNA
ARHGAP26,839.3968482676831,3.767406720799084e-135,RNA
PRKCH,838.3832572305356,4.976879224692072e-135,RNA
FAM49A,838.0529765490166,5.4496881273055765e-135,RNA
ACSL1,818.3536333151062,1.258976532644601e-132,RNA
CLEC12A,807.3459455852815,2.703159831012685e-131,RNA
MYOF,805.2121200349733,4.908859230738285e-131,RNA
CD247,802.3349335997109,1.0985922690571644e-130,RNA
PSTPIP2,796.9715221187313,4.948688671162876e-130,RNA
DYSF,787.6909493609369,6.762746354441335e-129,RNA
SULF2,781.8465660692567,3.534153072950774e-128,RNA
PRAM1,772.6141574393706,4.87017729843776e-127,RNA
MS4A6A,766.6964828799648,2.6355556769386966e-126,RNA
SCLT1,761.0042645402516,1.3445070072690314e-125,RNA
EMILIN2,746.0828138619759,9.87441320154268e-124,RNA
AOAH,733.0940459074216,4.2824777478485295e-122,RNA
MARCH1,722.6193146662398,9.138668978203831e-121,RNA
CREB5,718.5815076847516,2.988140243566698e-120,RNA
RAB11FIP1,718.085240350322,3.457169052729608e-120,RNA
ADAMTSL4.AS1,711.7172492196935,2.253397006808089e-119,RNA
RAB31,705.8639082159716,1.2700276129803592e-118,RNA
PSAP,694.2426785621884,4.003177331691959e-117,RNA
TCF7L2,693.1826180103401,5.4904731754693686e-117,RNA
KYNU,692.6787376512173,6.380541046889518e-117,RNA
KIF13A,679.7648629678108,3.045711106859001e-115,RNA
FTH1,656.6412206008721,3.326967327925972e-112,RNA
RGS2,653.5838284169615,8.451299475159377e-112,RNA
SRGN,648.4891328949032,4.010888703757594e-111,RNA
