feature,score,p_value,feature_type
PAX5,3782.1146024348286,0.0,RNA
BANK1,3431.8646786702666,0.0,RNA
FCRL1,3076.8602598699267,3.13014993819897e-310,RNA
MS4A1,2719.491508465022,5.226646293579154e-290,RNA
LINC00926,2205.9258602770174,2.8328381946420784e-257,RNA
OSBPL10,2056.777777499311,8.746587571962159e-247,RNA
EBF1,1808.2275444495938,4.056907527375825e-228,RNA
RALGPS2,1709.85947599434,2.840594380727205e-220,RNA
NIBAN3,1512.9520529818801,1.1104060876450769e-203,RNA
CD22,1380.8707310852421,8.228853217907004e-192,RNA
COL19A1,1287.2808904883775,5.354998740360424e-183,RNA
IGHM,1272.7820264794218,1.336822196139629e-181,RNA
AFF3,1261.4191503303061,1.6879471164390353e-180,RNA
BLK,1252.6366628223996,1.208714877318344e-179,RNA
CD79A,1053.463653940147,2.6005867139779756e-159,RNA
BLNK,989.8590291874225,2.1014829920889114e-152,RNA
PLEKHG1,952.1857024616065,3.2953314885144815e-148,RNA
IGHD,836.1136050272063,9.288622642555069e-135,RNA
SEL1L3,824.6456103884001,2.1994753520234032e-133,RNA
AP002075.1,799.5371672372069,2.4075033090453206e-130,RNA
ADAM28,791.816750265067,2.1112629417337265e-129,RNA
GNG7,773.4336808860551,3.85637812840944e-127,RNA
AC120193.1,736.445173599909,1.6148664195877223e-122,RNA
COBLL1,727.1685260899939,2.4134047619843626e-121,RNA
CD79B,666.9850141524502,1.4379595523009273e-113,RNA
DENND5B,645.7207959959512,9.36710046945326e-111,RNA
TPD52,628.0930585069611,2.1464966169761322e-108,RNA
KHDRBS2,593.5735119320848,1.066069478104572e-103,RNA
LINC02397,564.1489376860266,1.2914927301292503e-99,RNA
LARGE1,558.1448505475378,8.987689156128818e-99,RNA
STRBP,554.1607222288235,3.269809569930529e-98,RNA
BCL11A,529.1352007109105,1.1762853222507486e-94,RNA
SWAP70,505.892024717668,2.6629431929201534e-91,RNA
RUBCNL,491.6332889671377,3.2281845687312184e-89,RNA
LIX1.AS1,472.8405539113039,1.9297991738428603e-86,RNA
RASGRP3,458.42224810759075,2.7524376490067494e-84,RNA
FCER2,455.1194025977507,8.63307179322934e-84,RNA
FCRL2,452.83772149847226,1.904482792585461e-83,RNA
CDK14,431.4368317217136,3.380737824127312e-80,RNA
WDFY4,420.6367004314566,1.5386451537433427e-78,RNA
IGKC,402.359383777407,1.051921884558964e-75,RNA
SETBP1,392.45303657776134,3.748592878124109e-74,RNA
ANGPTL1,384.11508515302694,7.737326634147839e-73,RNA
PALM2.AKAP2,378.12238071665536,6.892755687420394e-72,RNA
SPIB,342.96121678767423,3.128971086865324e-66,RNA
MICAL3,334.73412502312055,6.923676536020674e-65,RNA
STEAP1B,334.6335515185016,7.191661547415647e-65,RNA
POU2AF1,334.2437184656313,8.33234860517997e-65,RNA
BTLA,334.15894866800267,8.603464179259741e-65,RNA
STAP1,330.90760995718705,2.9423874304819626e-64,RNA
ADAM19,330.1992710278681,3.8478293650744795e-64,RNA
CCSER1,329.29390468946275,5.422895783029516e-64,RNA
AUTS2,328.5637957794034,7.152775526816775e-64,RNA
P2RX5,328.52365491475916,7.262520970927646e-64,RNA
SIPA1L3,316.2595637754601,7.777916374397245e-62,RNA
CPNE5,284.54361975875304,1.693858829159631e-56,RNA
ABCB4,280.5330545399524,8.189301826778806e-56,RNA
PCDH9,280.2960952620958,8.989780301439287e-56,RNA
KCNH8,275.4874409574716,5.98813812011892e-55,RNA
CNR2,272.33111879674533,2.0870988453783902e-54,RNA
HLA.DQA1,271.59095862399494,2.798313246986353e-54,RNA
TSBP1.AS1,253.9655794979678,3.1746671863827123e-51,RNA
TCF4,240.7742911660517,6.550992936483782e-49,RNA
GPM6A,239.60343336870034,1.0542526724097227e-48,RNA
TLE1,237.96488703844713,2.05329548859649e-48,RNA
chr22.41919118.41927485,232.93169698005417,1.6001367258632629e-47,ATAC
ARHGAP24,231.61170405661986,2.7454906606913953e-47,RNA
BACE2,229.06772311857952,7.784079075672787e-47,RNA
TMEM156,219.47374913355057,4.041620484402644e-45,RNA
TCL1A,216.6673342264723,1.290919818835192e-44,RNA
AC019197.1,214.59540346029746,3.04790852333087e-44,RNA
SSPN,210.56348359057708,1.6289019396561692e-43,RNA
SLC38A11,209.90660818708636,2.1414814367699348e-43,RNA
SLC9A7,208.3307350111644,4.130791370699625e-43,RNA
FCHSD2,206.55772967549348,8.65952157964788e-43,RNA
CD74,204.9851969145408,1.6711181935635034e-42,RNA
P2RY14,203.65265471537148,2.9190550791485914e-42,RNA
LIX1,200.0097342262696,1.3454127741114267e-41,RNA
MEF2C,199.9277679705601,1.3925487186120838e-41,RNA
AOAH,198.5043830826846,2.5332262786568313e-41,RNA
AP001636.3,187.36622070629534,2.8055034967462772e-39,RNA
BACH2,183.56593523300074,1.4124967064525166e-38,RNA
DPYD,177.04149470411264,2.2936586142901592e-37,RNA
SCN3A,173.36810762047924,1.1094317905134798e-36,RNA
PARM1,172.2524677871734,1.7924383949467847e-36,RNA
RRAS2,171.77705797690263,2.199316202619194e-36,RNA
FCRL5,171.60293699442826,2.3704794592950916e-36,RNA
KLHL14,170.55253753718006,3.7264287011845814e-36,RNA
HLA.DRB1,167.0285070359269,1.704955452508945e-35,RNA
RAB30,162.79506246652946,1.066070194052456e-34,RNA
IFNG.AS1,162.36412719084274,1.2852482557295695e-34,RNA
AL050309.1,161.63810990523558,1.7614100772114555e-34,RNA
RHEX,158.2902312604197,7.553745851266682e-34,RNA
FCRL3,157.7508783375938,9.55440404514899e-34,RNA
LAMC1,143.27594073733565,5.46010544177918e-31,RNA
USP6NL,140.3468081672172,1.9929400805530154e-30,RNA
AL592429.2,139.0517900950888,3.5364831954363004e-30,RNA
MARCH3,138.29887464393025,4.937634875536675e-30,RNA
EML6,134.54824987115109,2.612520367929697e-29,RNA
ARHGAP26,133.6505510103236,3.895887188399025e-29,RNA
LINC01811,132.40434950870272,6.788360785756384e-29,RNA
JCHAIN,130.8820075877315,1.3388666020607154e-28,RNA
NETO1,130.4205080663312,1.6452826789838505e-28,RNA
PIP5K1B,128.80722787391824,3.383926756122321e-28,RNA
HLA.DRA,124.90665271702045,1.943432962136576e-27,RNA
MARCH1,124.04166234514972,2.8661098329703513e-27,RNA
AL078459.1,120.13775757901305,1.6614473168883216e-26,RNA
MEF2C.AS1,118.78131743537843,3.0642308671868307e-26,RNA
chr22.41935645.41941883,118.08146849696753,4.203501154565989e-26,ATAC
AL355076.2,116.60713156925715,8.187111915702962e-26,RNA
ZDHHC14,115.37464148426925,1.430439766515866e-25,RNA
HLA.DPB1,114.35168536620573,2.274180367759848e-25,RNA
HLA.DQB1,113.05376634730744,4.0981354415242506e-25,RNA
CLCN4,112.89318384642527,4.408105395583051e-25,RNA
RGS7,112.16504690436491,6.136153995885663e-25,RNA
IFNLR1,109.61848773197401,1.9546243837504835e-24,RNA
MZB1,108.44591550854899,3.33552292602777e-24,RNA
HLA.DRB5,107.55716556970872,5.003337584893977e-24,RNA
ZNF608,102.20391340107348,5.796605069834957e-23,RNA
NEAT1,100.93036467385596,1.0401665302518441e-22,RNA
COL4A3,100.89201487377923,1.0586545514939327e-22,RNA
EIF2AK3,100.23035497021432,1.4348665115533666e-22,RNA
C16orf74,99.39383460797187,2.1081027332089745e-22,RNA
MYO1E,99.02871334465222,2.493800428741887e-22,RNA
ANXA1,95.31946865381525,1.379308221803552e-21,RNA
AL139020.1,94.41061335372221,2.0993522277478775e-21,RNA
IGLC3,91.73008728857018,7.262535720117448e-21,RNA
PMEPA1,91.66495218760403,7.485208004860549e-21,RNA
SOX5,91.0036536359703,1.0172128391736536e-20,RNA
AC061958.1,90.1041738226221,1.5443335964482626e-20,RNA
COL4A4,89.99115326752562,1.627560184933929e-20,RNA
IGHA2,89.61866779035644,1.9350176600110604e-20,RNA
CCDC50,85.71372958790957,1.191849302196279e-19,RNA
MTSS1,84.90180980075313,1.7409312711409952e-19,RNA
ADGRE5,84.7459046059924,1.8723903579704418e-19,RNA
UST,84.62232360183233,1.9836270937827596e-19,RNA
EAF2,84.61749330722331,1.988106913587402e-19,RNA
BCL7A,84.08046167991864,2.5550167490452077e-19,RNA
PRKCH,83.23772358662141,3.7887221770049365e-19,RNA
SYN3,83.14698896002301,3.9529683885929117e-19,RNA
IGLC2,82.28073142902309,5.928855681991761e-19,RNA
FAM30A,80.64124508782535,1.2781962273994669e-18,RNA
STK33,80.49155832969467,1.3711552677037734e-18,RNA
HLA.DPA1,79.61396694320405,2.0698394668075672e-18,RNA
AC083837.1,79.40252401026967,2.2858766470636857e-18,RNA
C12orf42,79.0318496281045,2.7205812873489546e-18,RNA
C11orf80,76.40716798557328,9.351674507374723e-18,RNA
TSBP1,73.3591794236472,3.9400230063725236e-17,RNA
TSPAN13,73.29142304097138,4.0682458374413626e-17,RNA
PLXDC2,73.28592802793266,4.0788262105038395e-17,RNA
BASP1,72.91369537492581,4.863653234001834e-17,RNA
AC022182.1,71.02083115634106,1.191489873079913e-16,RNA
LYZ,70.46396190889762,1.5513994070857242e-16,RNA
SRGN,70.1873450544265,1.7688551828769045e-16,RNA
PDE3B,69.4987227582476,2.4523837221477666e-16,RNA
IGHA1,69.48270546028337,2.4710993589385454e-16,RNA
MED12L,69.4392211887559,2.5226342671290536e-16,RNA
BCL11B,68.30695356092663,4.3193554835875283e-16,RNA
BTNL9,68.23544287887113,4.468688854937699e-16,RNA
AC021678.2,67.841081004912,5.390203561207617e-16,RNA
AC027097.2,67.56901008225624,6.134814585755636e-16,RNA
THRB,67.01712180084478,7.977132849379387e-16,RNA
LINC02245,66.74824251552047,9.066408609554886e-16,RNA
TNFRSF17,66.47840292065555,1.0309539253994135e-15,RNA
SLC8A1,66.43520648437269,1.0523835303152926e-15,RNA
VAV3.AS1,65.92404718098246,1.3425666130528525e-15,RNA
AC002480.2,65.1208415443645,1.9690093684561654e-15,RNA
LRMDA,64.33507060023173,2.864819109651863e-15,RNA
MACROD2,63.34226194744798,4.603252271258798e-15,RNA
IL4R,62.787783365179344,6.000663566257938e-15,RNA
AKAP6,62.129325621270254,8.222817120514627e-15,RNA
PTPRE,60.806958012546055,1.5492223226958295e-14,RNA
